,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9385964912280702,0.9927248677248678,0.9384352963933389,0.9385964912280702,0.9384383268099622,0.8675534786006366
Decision Tree,0.9122807017543859,0.9156746031746031,0.9160721496836722,0.9122807017543859,0.9130211893369787,0.8174119974927639
kNN,0.956140350877193,0.9621362433862435,0.9568690958164642,0.956140350877193,0.9557756825927252,0.9058238738943076
Naive Bayes,0.9210526315789473,0.970568783068783,0.9226690805638174,0.9210526315789473,0.9198789174107642,0.8299275201966065
Random Forest (Ensemble),0.9385964912280702,0.986441798941799,0.9390418397779577,0.9385964912280702,0.9387429907553746,0.868859654660177
XGBoost (Ensemble),0.9385964912280702,0.9887566137566137,0.9384352963933389,0.9385964912280702,0.9384383268099622,0.8675534786006366
